City,Latitude,Longitude,District
Chobhar,27.6703694,85.2905385,Kathmandu
Patan,27.6767339,85.316805,Kathmandu
Bhaktapur,27.6711133,85.4261675,Kathmandu
Madhyapur Thimi,27.6800062,85.3857303,Kathmandu
Dakshinkali,27.6100965,85.266627,Kathmandu
Chhetrapati,27.7112071,85.3086148,Kathmandu
Bhaisepati,27.6337828,85.49182,Kathmandu
Sundarijal,27.759287,85.4206536,Kathmandu
Godawari,27.6156322,85.3345577,Kathmandu
Swayambhu,27.7161935,85.2838241,Kathmandu
Lalitpur,27.6767339,85.316805,Kathmandu
Chobhar,27.6703694,85.2905385,Kathmandu
Khokana,27.6360036,85.3005718,Kathmandu
Buddhanilkantha,27.7762042,85.3618667,Kathmandu
Balkumari,27.6758786,85.3854371,Kathmandu
Mahalaxmi,27.6463117,85.370991897,Kathmandu
Banepa,27.6300125,85.5219698,Kathmandu
Balkot,27.6610859,85.3697455,Kathmandu
Chhetrapati,27.7112071,85.3086148,Kathmandu
Shankhamul,27.6829626,85.3310192,Kathmandu
Pharping,27.6130519,85.2647075,Kathmandu
Kavresthali,27.7850619,85.3009324,Kathmandu
Harisiddhi,27.636272,85.340271,Kathmandu
Sankhu,27.7290234,85.4613828,Kathmandu
Thankot,27.6935287,85.2195419,Kathmandu
Kalimati,27.6986035,85.2992018,Kathmandu
